"segment", "metadata size", segment_size
tpch_lineitem_1g_sort_idx_OFFLINE_1268/v3/metadata.properties,10113,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1269/v3/metadata.properties,10100,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_126/v3/metadata.properties,10138,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1270/v3/metadata.properties,10121,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1271/v3/metadata.properties,10130,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1272/v3/metadata.properties,10110,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1273/v3/metadata.properties,10117,88K	
tpch_lineitem_1g_sort_idx_OFFLINE_1274/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1275/v3/metadata.properties,10141,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1276/v3/metadata.properties,10151,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1277/v3/metadata.properties,10112,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1278/v3/metadata.properties,10103,84K	
tpch_lineitem_1g_sort_idx_OFFLINE_1279/v3/metadata.properties,10114,84K	
